 Centro Gestor ; Nombre Centro Gestor ; Area Funcional ; Nombre Area Funcional ; Propósito ; Nombre Propósito ; Reto ; Nombre Reto ; Programa ; Nombre Programa ; BPIN ; BP ; Nombre Proyecto ; Programa Presupuestal ; Nombre Actividad ; Pospre ; Nombre Pospre ; Fondo ; Nombre fondo ; Origen ; COMUNA ; VIGENCIA ; TIPO DE GASTO ; PPTO INICIAL ; REDUCCIONES ; ADICIONES ; CONTRACREDITOS ; CREDITOS ; APLAZAMIENTO ; DESAPLAZAMIENTO ; PPTO. MODIFICADO ; TOTAL ACUMULADO CDP ; TOTAL ACUMULADO RPC ; TOTAL ACUMUL OBLIGAC ; PAGOS ; EJECUCION ; SALDOS CDP ; PPTO. DISPONIBLE ; Clasificación del fondo 1 
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010109;Realizar la adquisición de Paquetes de software para la adecuada operación de contenidos informativos;2-32010100502030101;Paquetes de software;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 30.093.750 ; -   ; -   ; -   ; -   ; -   ; -   ; 30.093.750 ; -   ; -   ; -   ; -   ; -   ; -   ; 30.093.750 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010110;Realizar mantenimiento a equipos especializados audiovisuales y digitales;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 5.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 5.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 5.000.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020003;Personas capacitadas en buen gobierno para una gobernanza transparente y eficaz;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010059;BP26005385;"Implementación de la estrategia de gobernanza denominada: ""Cali gobierna unida”, en Santiago de Cali";BP260053851010101;"Diseñar e implementar la estrategia de gobernanza y gobernabilidad ""Cali gobierna unida”";2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 258.075.180 ; -   ; -   ; -   ; -   ; -   ; -   ; 258.075.180 ; -   ; -   ; -   ; -   ; -   ; -   ; 258.075.180 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020003;Personas capacitadas en buen gobierno para una gobernanza transparente y eficaz;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010059;BP26005385;"Implementación de la estrategia de gobernanza denominada: ""Cali gobierna unida”, en Santiago de Cali";BP260053851010102;Realizar el proceso de articulación y enlace territorial multiactores;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 37.342.800 ; -   ; -   ; -   ; -   ; -   ; -   ; 37.342.800 ; -   ; -   ; -   ; -   ; -   ; -   ; 37.342.800 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020003;Personas capacitadas en buen gobierno para una gobernanza transparente y eficaz;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010059;BP26005385;"Implementación de la estrategia de gobernanza denominada: ""Cali gobierna unida”, en Santiago de Cali";BP260053851010103;Realizar talleres de formación en gobernanza y gerencia social para actores movilizadores del territorio y funcionarios/servidores que tengan línea de trabajo con estos actores;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 160.608.195 ; -   ; -   ; -   ; -   ; -   ; -   ; 160.608.195 ; -   ; -   ; -   ; -   ; -   ; -   ; 160.608.195 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020003;Personas capacitadas en buen gobierno para una gobernanza transparente y eficaz;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010059;BP26005385;"Implementación de la estrategia de gobernanza denominada: ""Cali gobierna unida”, en Santiago de Cali";BP260053851010104;Realizar apoyo administrativo y operativo en la implementación de la estrategia de gobernanza y gobernabilidad para el fortalecimiento del buen gobierno en el marco del proyecto;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 74.685.600 ; -   ; -   ; -   ; -   ; -   ; -   ; 74.685.600 ; -   ; -   ; -   ; -   ; -   ; -   ; 74.685.600 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020003;Personas capacitadas en buen gobierno para una gobernanza transparente y eficaz;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010059;BP26005385;"Implementación de la estrategia de gobernanza denominada: ""Cali gobierna unida”, en Santiago de Cali";BP260053851010106;Realizar monitoreo y seguimiento a la ejecución de las actividades del proyecto;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 65.691.450 ; -   ; -   ; -   ; -   ; -   ; -   ; 65.691.450 ; -   ; -   ; -   ; -   ; -   ; -   ; 65.691.450 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020004;Sitio web de transparencia rediseñado de manera accesible, con lenguaje claro y con información disponible en formatos abiertos, y actualización de contenidos en el mismo;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010060;BP26005292;Fortalecimiento de mecanismos institucionales para la transparencia y lucha contra la corrupción en el Distrito de Santiago de Cali;BP260052921020101;Diseñar insumos pedagógicos y en lenguaje no especializados para promover la transparencia;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 64.969.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 64.969.000 ; 59.895.000 ; 59.895.000 ; 5.445.000 ; 5.445.000 ; 59.895.000 ; -   ; 5.074.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020004;Sitio web de transparencia rediseñado de manera accesible, con lenguaje claro y con información disponible en formatos abiertos, y actualización de contenidos en el mismo;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010060;BP26005292;Fortalecimiento de mecanismos institucionales para la transparencia y lucha contra la corrupción en el Distrito de Santiago de Cali;BP260052921020102;Realizar la actualización periódica del micrositio de transparencia en la página web de la Alcaldía para garantizar su correcto funcionamiento y accesibilidad según normas de inclusión;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 62.772.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 62.772.000 ; 59.895.000 ; 59.895.000 ; 5.445.000 ; 5.445.000 ; 59.895.000 ; -   ; 2.877.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020004;Sitio web de transparencia rediseñado de manera accesible, con lenguaje claro y con información disponible en formatos abiertos, y actualización de contenidos en el mismo;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010060;BP26005292;Fortalecimiento de mecanismos institucionales para la transparencia y lucha contra la corrupción en el Distrito de Santiago de Cali;BP260052921020104;Suministrar insumos logísticos para la realización de las mesas de trabajo cocreativo con los observatorios;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 75.550.530 ; -   ; -   ; -   ; -   ; -   ; -   ; 75.550.530 ; -   ; -   ; -   ; -   ; -   ; -   ; 75.550.530 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020004;Sitio web de transparencia rediseñado de manera accesible, con lenguaje claro y con información disponible en formatos abiertos, y actualización de contenidos en el mismo;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010060;BP26005292;Fortalecimiento de mecanismos institucionales para la transparencia y lucha contra la corrupción en el Distrito de Santiago de Cali;BP260052921020105;Mejorar la calidad, pertinencia y disponibilidad de los datos abiertos de Cali para generar oportunidades de dialogo e intercambio de saberes con la ciudadanía en general;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 64.969.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 64.969.000 ; 59.895.000 ; 59.895.000 ; 5.445.000 ; 5.445.000 ; 59.895.000 ; -   ; 5.074.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020004;Sitio web de transparencia rediseñado de manera accesible, con lenguaje claro y con información disponible en formatos abiertos, y actualización de contenidos en el mismo;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010060;BP26005292;Fortalecimiento de mecanismos institucionales para la transparencia y lucha contra la corrupción en el Distrito de Santiago de Cali;BP260052921020106;Realizar acciones encaminadas a fortalecer los observatorios ciudadanos de transparencia para el ejercicio del control social;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 85.338.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 85.338.000 ; 80.379.000 ; 80.379.000 ; 5.445.000 ; 5.445.000 ; 80.379.000 ; -   ; 4.959.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63020010001;Estrategia de acción internacional implementada;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010327;BP26005266;Implementación de la Estrategia de Acción Internacional de Santiago de  Cali;BP260052661010101;Posicionar a Santiago de Cali a nivel internacional;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 376.411.920 ; -   ; -   ; -   ; -   ; -   ; -   ; 376.411.920 ; 136.620.000 ; 136.620.000 ; 11.385.000 ; 11.385.000 ; 136.620.000 ; -   ; 239.791.920 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63020010001;Estrategia de acción internacional implementada;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010327;BP26005266;Implementación de la Estrategia de Acción Internacional de Santiago de  Cali;BP260052661010102;Realizar el acompañamiento en la consecución de recursos financieros y técnicos de cooperación internacional;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 619.475.050 ; -   ; -   ; -   ; -   ; -   ; -   ; 619.475.050 ; 431.568.000 ; 431.568.000 ; 35.964.000 ; 35.964.000 ; 431.568.000 ; -   ; 187.907.050 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63020010001;Estrategia de acción internacional implementada;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010327;BP26005266;Implementación de la Estrategia de Acción Internacional de Santiago de  Cali;BP260052661010103;Fortalecer la capacidad para el desarrollo de la acción internacional en los organismos de la Alcaldía de Cali;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 235.325.225 ; -   ; -   ; -   ; -   ; -   ; -   ; 235.325.225 ; -   ; -   ; -   ; -   ; -   ; -   ; 235.325.225 ;Recursos Propios de Libre Destinación
4121;Departamento Administrativo de Gestión Jurídica Pública;63020010002;Documentos de lineamientos institucionales que describen, explican y contienen las condiciones necesarias para un adecuado ciclo de defensa jurídica, mejora normativa y prevención del daño antijurídico;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010018;BP26005460;Fortalecimiento del ciclo de defensa jurídica y de la política de mejora normativa del Distrito Especial de Santiago de Cali;BP260054601010101;Realizar el proceso de actualización  de la información litigiosa de los sistemas de información;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 149.798.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 149.798.000 ; 81.936.000 ; 76.815.000 ; 5.121.000 ; -   ; 76.815.000 ; 5.121.000 ; 67.862.000 ;Recursos Propios de Libre Destinación
4121;Departamento Administrativo de Gestión Jurídica Pública;63020010002;Documentos de lineamientos institucionales que describen, explican y contienen las condiciones necesarias para un adecuado ciclo de defensa jurídica, mejora normativa y prevención del daño antijurídico;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010018;BP26005460;Fortalecimiento del ciclo de defensa jurídica y de la política de mejora normativa del Distrito Especial de Santiago de Cali;BP260054601010102;Realizar la identificación y análisis de las causas generadores del daño antijurídico, e implementar las políticas de prevención;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 10.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 10.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 10.000.000 ;Recursos Propios de Libre Destinación
4121;Departamento Administrativo de Gestión Jurídica Pública;63020010002;Documentos de lineamientos institucionales que describen, explican y contienen las condiciones necesarias para un adecuado ciclo de defensa jurídica, mejora normativa y prevención del daño antijurídico;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010018;BP26005460;Fortalecimiento del ciclo de defensa jurídica y de la política de mejora normativa del Distrito Especial de Santiago de Cali;BP260054601010103;Apoyar la etapa prejudicial y judicial de los procesos activos de la Administración Distrital;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 596.241.581 ; -   ; -   ; -   ; -   ; -   ; -   ; 596.241.581 ; 592.737.000 ; 376.454.500 ; 46.187.000 ; 22.739.500 ; 376.454.500 ; 216.282.500 ; 3.504.581 ;Recursos Propios de Libre Destinación
4121;Departamento Administrativo de Gestión Jurídica Pública;63020010002;Documentos de lineamientos institucionales que describen, explican y contienen las condiciones necesarias para un adecuado ciclo de defensa jurídica, mejora normativa y prevención del daño antijurídico;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010018;BP26005460;Fortalecimiento del ciclo de defensa jurídica y de la política de mejora normativa del Distrito Especial de Santiago de Cali;BP260054601010104;Realizar seguimiento y control de la actividad litigiosa;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 57.340.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 57.340.000 ; 32.670.000 ; 29.947.500 ; -   ; -   ; 29.947.500 ; 2.722.500 ; 24.670.000 ;Recursos Propios de Libre Destinación
4121;Departamento Administrativo de Gestión Jurídica Pública;63020010002;Documentos de lineamientos institucionales que describen, explican y contienen las condiciones necesarias para un adecuado ciclo de defensa jurídica, mejora normativa y prevención del daño antijurídico;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010018;BP26005460;Fortalecimiento del ciclo de defensa jurídica y de la política de mejora normativa del Distrito Especial de Santiago de Cali;BP260054601010105;Apoyar la etapa de cumplimiento y pago de sentencias y acuerdos conciliatorios del Distrito de Santiago de Cali;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 33.736.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 33.736.000 ; 32.670.000 ; 32.670.000 ; 5.445.000 ; 5.445.000 ; 32.670.000 ; -   ; 1.066.000 ;Recursos Propios de Libre Destinación
4121;Departamento Administrativo de Gestión Jurídica Pública;63020010002;Documentos de lineamientos institucionales que describen, explican y contienen las condiciones necesarias para un adecuado ciclo de defensa jurídica, mejora normativa y prevención del daño antijurídico;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010018;BP26005460;Fortalecimiento del ciclo de defensa jurídica y de la política de mejora normativa del Distrito Especial de Santiago de Cali;BP260054601010106;Apoyar la gestión jurídica normativa, en acciones que encaminen a brindar seguridad jurídica;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 307.884.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 307.884.000 ; 279.400.000 ; 204.150.000 ; 34.025.000 ; 12.210.000 ; 204.150.000 ; 75.250.000 ; 28.484.000 ;Recursos Propios de Libre Destinación
4121;Departamento Administrativo de Gestión Jurídica Pública;63020010003;Estructuración e implementación de Legaltech Para el Fortalecimiento de la Gestión Jurídica Administrativa.;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010018;BP26005460;Fortalecimiento del ciclo de defensa jurídica y de la política de mejora normativa del Distrito Especial de Santiago de Cali;BP260054601020103;Realizar diagnostico integral para proponer soluciones tecnológicas especificas;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 23.334.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 23.334.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 23.334.000 ;Recursos Propios de Libre Destinación
4121;Departamento Administrativo de Gestión Jurídica Pública;63020010003;Estructuración e implementación de Legaltech Para el Fortalecimiento de la Gestión Jurídica Administrativa.;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010018;BP26005460;Fortalecimiento del ciclo de defensa jurídica y de la política de mejora normativa del Distrito Especial de Santiago de Cali;BP260054601020104;Brindar soporte técnico, mantenimiento, desarrollo y actualización de los sistemas de información;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 36.764.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 36.764.000 ; 32.670.000 ; 32.670.000 ; 5.445.000 ; 5.445.000 ; 32.670.000 ; -   ; 4.094.000 ;Recursos Propios de Libre Destinación
